epoch,accuracy,loss,val_accuracy,val_loss
0,0.59375,0.8006861805915833,0.9166666865348816,0.548937976360321
1,0.78125,0.5741440653800964,0.9583333134651184,0.4683806598186493
2,0.78125,0.5551729798316956,0.9166666865348816,0.43399739265441895
3,0.7604166865348816,0.5159510970115662,0.9166666865348816,0.4072466790676117
4,0.7708333134651184,0.4817943871021271,0.9166666865348816,0.3618788719177246
5,0.8229166865348816,0.481062650680542,0.9166666865348816,0.32860472798347473
6,0.8541666865348816,0.4375595152378082,0.9166666865348816,0.31109490990638733
7,0.8645833134651184,0.3875619173049927,0.9166666865348816,0.2765694558620453
8,0.8125,0.42600080370903015,0.9583333134651184,0.34929385781288147
9,0.90625,0.33810505270957947,0.9166666865348816,0.2547016441822052
10,0.8645833134651184,0.35861122608184814,0.9583333134651184,0.26322779059410095
11,0.84375,0.4274541139602661,0.9583333134651184,0.2596794366836548
12,0.8854166865348816,0.3344697952270508,0.9583333134651184,0.2610701322555542
13,0.8333333134651184,0.3960355818271637,0.9583333134651184,0.2552661597728729
14,0.8854166865348816,0.3271622061729431,0.9583333134651184,0.25353744626045227
15,0.875,0.32868894934654236,0.9583333134651184,0.25541457533836365
16,0.8541666865348816,0.35941848158836365,0.9583333134651184,0.257625013589859
17,0.9270833134651184,0.2799799144268036,0.9583333134651184,0.2504860460758209
18,0.84375,0.36197805404663086,0.9583333134651184,0.24928246438503265
19,0.84375,0.3304225206375122,0.9583333134651184,0.25169798731803894
20,0.875,0.3536231219768524,0.9583333134651184,0.2453581541776657
21,0.8645833134651184,0.35462233424186707,0.9583333134651184,0.24414443969726562
22,0.9166666865348816,0.311017245054245,0.9583333134651184,0.24690280854701996
23,0.8958333134651184,0.32545217871665955,0.9583333134651184,0.24418728053569794
24,0.8854166865348816,0.3820134103298187,0.9583333134651184,0.24321626126766205
25,0.9166666865348816,0.31798648834228516,0.9583333134651184,0.24073763191699982
26,0.8645833134651184,0.34356236457824707,0.9583333134651184,0.24143707752227783
27,0.90625,0.28636831045150757,0.9583333134651184,0.24124588072299957
28,0.8541666865348816,0.36995968222618103,0.9583333134651184,0.23896966874599457
29,0.875,0.33338356018066406,0.9583333134651184,0.2376641184091568
30,0.8854166865348816,0.3338864743709564,0.9583333134651184,0.23595964908599854
31,0.875,0.34165987372398376,0.9583333134651184,0.23393571376800537
32,0.9479166865348816,0.2611009180545807,0.9583333134651184,0.23170392215251923
33,0.8854166865348816,0.32446756958961487,0.9583333134651184,0.23411281406879425
34,0.8541666865348816,0.36719271540641785,0.9583333134651184,0.23274646699428558
35,0.9270833134651184,0.3063845932483673,0.9583333134651184,0.22872155904769897
36,0.90625,0.3320164680480957,0.9583333134651184,0.22578024864196777
37,0.8645833134651184,0.3674910068511963,0.9583333134651184,0.2274257391691208
38,0.90625,0.33000877499580383,0.9583333134651184,0.22646327316761017
39,0.9166666865348816,0.2773926556110382,0.9583333134651184,0.22285346686840057
40,0.875,0.33183494210243225,0.9583333134651184,0.22192466259002686
41,0.8958333134651184,0.3309084475040436,0.9583333134651184,0.2217264622449875
42,0.9166666865348816,0.27490630745887756,0.9583333134651184,0.2217641919851303
43,0.8229166865348816,0.3896697759628296,0.9583333134651184,0.22035185992717743
44,0.84375,0.429492712020874,0.9583333134651184,0.22010016441345215
45,0.8854166865348816,0.3452552258968353,0.9583333134651184,0.21834762394428253
46,0.8958333134651184,0.324892520904541,0.9583333134651184,0.2180357426404953
47,0.9375,0.2563222646713257,0.9583333134651184,0.21591512858867645
48,0.84375,0.40587902069091797,0.9583333134651184,0.21727041900157928
49,0.875,0.3425678312778473,0.9583333134651184,0.21573574841022491
